year,reporter_code,reporter_iso3,reporter_name,flow_code,flow_name,partner_code,partner_iso3,partner_name,partner_is_group,hs_code,commodity,classification,trade_value_usd,net_weight_kg,net_weight_estimated,comtrade_is_aggregate,comtrade_is_reported
2019,699,IND,India,M,Import,0,W00,World,True,8542,Electronic integrated circuits,H5,10172390321.804,0.0,True,True,False
2019,699,IND,India,M,Import,32,ARG,Argentina,False,8542,Electronic integrated circuits,H5,11252.025,700.0,False,True,False
2019,699,IND,India,M,Import,36,AUS,Australia,False,8542,Electronic integrated circuits,H5,111192.557,97.966,True,True,False
2019,699,IND,India,M,Import,40,AUT,Austria,False,8542,Electronic integrated circuits,H5,559159.91,474.139,True,True,False
2019,699,IND,India,M,Import,48,BHR,Bahrain,False,8542,Electronic integrated circuits,H5,16938.522,0.0,True,True,False
2019,699,IND,India,M,Import,56,BEL,Belgium,False,8542,Electronic integrated circuits,H5,2430297.264,2127.684,True,True,False
2019,699,IND,India,M,Import,60,BMU,Bermuda,False,8542,Electronic integrated circuits,H5,326.051,0.0,True,True,False
2019,699,IND,India,M,Import,76,BRA,Brazil,False,8542,Electronic integrated circuits,H5,204142.417,172.46,True,True,False
2019,699,IND,India,M,Import,92,VGB,Br. Virgin Isds,False,8542,Electronic integrated circuits,H5,1090467.232,837.675,True,True,False
2019,699,IND,India,M,Import,96,BRN,Brunei Darussalam,False,8542,Electronic integrated circuits,H5,4972.035,0.0,True,True,False
2019,699,IND,India,M,Import,100,BGR,Bulgaria,False,8542,Electronic integrated circuits,H5,148575.201,0.0,True,True,False
2019,699,IND,India,M,Import,112,BLR,Belarus,False,8542,Electronic integrated circuits,H5,672033.573,723.365,True,True,False
2019,699,IND,India,M,Import,124,CAN,Canada,False,8542,Electronic integrated circuits,H5,1491477.299,1326.054,True,True,False
2019,699,IND,India,M,Import,144,LKA,Sri Lanka,False,8542,Electronic integrated circuits,H5,9045.91,0.0,True,True,False
2019,699,IND,India,M,Import,152,CHL,Chile,False,8542,Electronic integrated circuits,H5,3580485.536,3339.528,True,True,False
