Year,Reporter_Country,Reporter_Region,Partner_Country,Partner_Region,Flow_Type,Product_Category,Trade_Value_USD,Tariff_Rate,Disruption_Risk_Score
2019,Netherlands,Europe,Japan,Asia,Import,Analog ICs,56824.43,0.067,7
2019,India,Asia,Singapore,Asia,Import,Microprocessors,340067.79,0.021,3
2019,Taiwan,Asia,South Korea,Asia,Export,Microprocessors,23027.48,0.06,3
2019,Mexico,North America,Netherlands,Europe,Export,Logic ICs,9362.0,0.007,3
2019,Netherlands,Europe,South Korea,Asia,Import,Memory ICs,19892.63,0.015,4
2019,Mexico,North America,France,Europe,Export,Microprocessors,146514.49,0.074,3
2019,UK,Europe,USA,North America,Export,Memory ICs,1754.19,0.078,10
2019,Japan,Asia,Taiwan,Asia,Import,Memory ICs,586892.42,0.116,2
2019,Vietnam,Asia,UK,Europe,Export,Sensors,3588.99,0.086,9
2019,UK,Europe,Singapore,Asia,Import,Optoelectronics,237340.58,0.041,5
2019,Singapore,Asia,Vietnam,Asia,Import,Microprocessors,1075.01,0.044,1
2019,Malaysia,Asia,Netherlands,Europe,Import,Logic ICs,93246.79,0.03,8
2019,France,Europe,India,Asia,Import,Logic ICs,141657.69,0.091,10
2019,Netherlands,Europe,Vietnam,Asia,Import,Microprocessors,85437.02,0.129,8
2019,Mexico,North America,China,Asia,Import,Sensors,582872.31,0.096,3
2019,USA,North America,Germany,Europe,Import,Sensors,3654.02,0.127,5
2019,Vietnam,Asia,Netherlands,Europe,Import,Sensors,18710445.47,0.064,10
2019,Mexico,North America,Canada,North America,Import,Logic ICs,3495.45,0.047,4
2019,UK,Europe,South Korea,Asia,Import,Optoelectronics,1290.53,0.141,7
2019,India,Asia,Germany,Europe,Export,Microprocessors,32230.68,0.139,9
2019,South Korea,Asia,Taiwan,Asia,Export,Microprocessors,9609.15,0.132,10
2019,Netherlands,Europe,Mexico,North America,Import,Sensors,1342.81,0.017,9
2019,India,Asia,UK,Europe,Import,Microprocessors,1482.11,0.025,9
2019,UK,Europe,South Korea,Asia,Import,Analog ICs,2869.39,0.04,8
2019,France,Europe,India,Asia,Export,Logic ICs,5851.91,0.038,7
2019,China,Asia,Germany,Europe,Import,Optoelectronics,16433.12,0.043,1
2019,India,Asia,USA,North America,Export,Memory ICs,9103.99,0.052,1
2019,Germany,Europe,UK,Europe,Export,Optoelectronics,18614.01,0.073,6
2019,Netherlands,Europe,Japan,Asia,Import,Analog ICs,1565.95,0.12,5
2019,Japan,Asia,China,Asia,Export,Sensors,5787.79,0.08,1
2019,Malaysia,Asia,Mexico,North America,Import,Sensors,106867.56,0.049,4
2019,Germany,Europe,Vietnam,Asia,Import,Analog ICs,52207.37,0.052,7
2019,Japan,Asia,Malaysia,Asia,Import,Memory ICs,57754.6,0.11,2
2019,Netherlands,Europe,France,Europe,Export,Memory ICs,140492.97,0.039,10
2019,Malaysia,Asia,Japan,Asia,Export,Logic ICs,11510.54,0.135,5
2019,India,Asia,Netherlands,Europe,Import,Logic ICs,14592.55,0.052,3
2019,Japan,Asia,Singapore,Asia,Export,Logic ICs,5653.05,0.024,6
2019,Singapore,Asia,Japan,Asia,Export,Analog ICs,35049.18,0.056,9
2019,Germany,Europe,Malaysia,Asia,Import,Memory ICs,31246.61,0.104,9
2019,Japan,Asia,USA,North America,Export,Logic ICs,1931.96,0.074,4
2019,Singapore,Asia,Netherlands,Europe,Import,Logic ICs,50829.75,0.076,6
2019,Netherlands,Europe,Taiwan,Asia,Export,Sensors,506.21,0.146,3
2019,Taiwan,Asia,Singapore,Asia,Import,Analog ICs,22606.75,0.087,1
2019,South Korea,Asia,Mexico,North America,Import,Analog ICs,403151.68,0.086,1
2019,USA,North America,Mexico,North America,Export,Sensors,17184.02,0.145,3
2019,Mexico,North America,USA,North America,Export,Optoelectronics,96827.05,0.058,7
2019,USA,North America,Germany,Europe,Export,Memory ICs,91146.05,0.104,8
2019,UK,Europe,Singapore,Asia,Export,Sensors,26501.53,0.054,10
2019,China,Asia,Vietnam,Asia,Import,Logic ICs,50882.73,0.083,10
2019,Netherlands,Europe,Vietnam,Asia,Import,Memory ICs,5134.01,0.13,10
2019,Netherlands,Europe,Malaysia,Asia,Export,Optoelectronics,7245.31,0.133,2
2019,China,Asia,Netherlands,Europe,Import,Sensors,17060.66,0.049,10
2019,France,Europe,UK,Europe,Import,Sensors,9613.62,0.006,6
2019,France,Europe,Taiwan,Asia,Import,Microprocessors,25858.57,0.049,8
2019,South Korea,Asia,Mexico,North America,Export,Microprocessors,5111.59,0.008,4
2019,UK,Europe,France,Europe,Import,Microprocessors,33959.27,0.02,2
2019,Mexico,North America,Vietnam,Asia,Export,Analog ICs,5863.06,0.066,7
2019,Vietnam,Asia,South Korea,Asia,Export,Optoelectronics,121159.93,0.012,9
2019,Mexico,North America,South Korea,Asia,Import,Memory ICs,52452.61,0.036,6
2019,Malaysia,Asia,Singapore,Asia,Import,Optoelectronics,116240.56,0.096,7
2019,France,Europe,South Korea,Asia,Export,Optoelectronics,1054.96,0.053,5
2019,Taiwan,Asia,Malaysia,Asia,Import,Sensors,8362.66,0.014,1
2019,UK,Europe,Japan,Asia,Import,Microprocessors,7342.94,0.07,5
2019,Netherlands,Europe,Vietnam,Asia,Export,Sensors,197519.48,0.095,2
2019,Japan,Asia,France,Europe,Export,Memory ICs,22106.51,0.081,4
