partner_code,partner_iso3,partner_name,trade_value_usd,supplier_share_percent,cumulative_share_percent
156,CHN,China,11710232694.19,40.92128560164997,40.92128560164997
490,S19,"Other Asia, nes",8046184379.767,28.11730711135585,69.03859271300581
410,KOR,Rep. of Korea,4580707625.562,16.007234860181775,85.04582757318758
392,JPN,Japan,1083699931.033,3.7869780680184184,88.832805641206
702,SGP,Singapore,663029566.88,2.3169498828231005,91.14975552402909
484,MEX,Mexico,604592735.764,2.1127429880327298,93.26249851206182
458,MYS,Malaysia,594258346.75,2.076629573773227,95.33912808583506
842,USA,USA,328684806.638,1.1485856170928164,96.48771370292788
344,HKG,"China, Hong Kong SAR",197117028.66,0.688823393812366,97.17653709674025
764,THA,Thailand,177511684.635,0.620312724287953,97.7968498210282
608,PHL,Philippines,162244388.737,0.5669613185454414,98.36381113957364
704,VNM,Viet Nam,131938719.075,0.4610584730619988,98.82486961263564
276,DEU,Germany,74946756.588,0.26190065657504247,99.08677026921067
376,ISR,Israel,72385712.729,0.25295111561122474,99.3397213848219
251,FRA,France,52092300.668,0.18203599953567776,99.52175738435757
372,IRL,Ireland,47995732.679,0.1677205855689153,99.68947796992649
380,ITA,Italy,17520490.754,0.06122517158700185,99.75070314151348
360,IDN,Indonesia,12841409.443,0.04487417091254274,99.79557731242602
504,MAR,Morocco,8740926.325,0.03054507556846181,99.82612238799449
144,LKA,Sri Lanka,8101279.778,0.028309837403904844,99.8544322253984
826,GBR,United Kingdom,6704382.704,0.023428395197412712,99.87786062059581
757,CHE,Switzerland,4754648.254,0.016615068565960598,99.89447568916177
348,HUN,Hungary,4542706.296,0.015874439611713264,99.91035012877347
528,NLD,Netherlands,2962870.937,0.010353721482747338,99.92070385025622
246,FIN,Finland,2519009.818,0.008802653447431641,99.92950650370365
616,POL,Poland,1701264.056,0.005945049439874767,99.93545155314352
56,BEL,Belgium,1464753.486,0.005118565728105239,99.94057011887163
470,MLT,Malta,1429910.004,0.004996805544895098,99.94556692441653
40,AUT,Austria,1326990.048,0.0046371528357158145,99.95020407725224
642,ROU,Romania,1198483.046,0.004188086462059305,99.9543921637143
699,IND,India,1186765.896,0.004147141004004892,99.95853930471831
124,CAN,Canada,1105484.975,0.0038631056761794774,99.96240241039449
784,ARE,United Arab Emirates,1086446.89,0.0037965772873815307,99.96619898768186
724,ESP,Spain,952172.375,0.003327356399903846,99.96952634408177
792,TUR,Türkiye,898087.33,0.003138356776154168,99.97266470085792
112,BLR,Belarus,849468.882,0.0029684601184127666,99.97563316097633
208,DNK,Denmark,845639.204,0.002955077348719547,99.97858823832505
188,CRI,Costa Rica,788209.53,0.002754389953931086,99.98134262827898
222,SLV,El Salvador,651453.89,0.0022764988011060036,99.98361912708009
748,SWZ,Eswatini,549212.993,0.001919219056495833,99.98553834613658
620,PRT,Portugal,528356.05,0.0018463346874513311,99.98738468082404
203,CZE,Czechia,487583.598,0.0017038557806231714,99.98908853660465
100,BGR,Bulgaria,347593.392,0.0012146614707609915,99.99030319807541
705,SVN,Slovenia,310064.177,0.0010835160216886876,99.9913867140971
116,KHM,Cambodia,293324.82,0.001025020513830433,99.99241173461094
643,RUS,Russian Federation,274759.738,0.0009601450290659862,99.99337187964001
76,BRA,Brazil,268092.974,0.0009368480920360196,99.99430872773205
752,SWE,Sweden,217967.995,0.0007616868774810439,99.99507041460953
300,GRC,Greece,204967.207,0.0007162557598689696,99.9957866703694
408,PRK,Dem. People's Rep. of Korea,151268.201,0.000528605145364873,99.99631527551476
516,NAM,Namibia,135371.043,0.00047305269309846215,99.99678832820786
579,NOR,Norway,130810.374,0.00045711548300560146,99.99724544369086
36,AUS,Australia,121148.511,0.00042335220386400255,99.99766879589473
703,SVK,Slovakia,116322.658,0.0004064883110583063,99.99807528420578
688,SRB,Serbia,92989.65,0.0003249513587834542,99.99840023556456
191,HRV,Croatia,83142.942,0.0002905421407237679,99.99869077770528
170,COL,Colombia,58793.496,0.00020545325649499248,99.99889623096178
566,NGA,Nigeria,53476.426,0.00018687281102340786,99.9990831037728
581,UMI,United States Minor Outlying Islands,46200.031,0.00016144552484376174,99.99924454929764
554,NZL,New Zealand,43203.903,0.00015097558690239777,99.99939552488455
818,EGY,Egypt,31719.634,0.00011084392906537289,99.99950636881361
104,MMR,Myanmar,30002.439,0.0001048432091084083,99.99961121202273
804,UKR,Ukraine,20665.654,7.221591163585114e-05,99.99968342793436
428,LVA,Latvia,19615.421,6.854588340809436e-05,99.99975197381777
400,JOR,Jordan,16229.597,5.671415687291943e-05,99.99980868797464
788,TUN,Tunisia,14442.124,5.0467851180417765e-05,99.99985915582582
807,MKD,North Macedonia,9920.297,3.466637405007358e-05,99.99989382219987
233,EST,Estonia,9523.421,3.3279495021401655e-05,99.9999271016949
196,CYP,Cyprus,9166.991,3.2033954116460226e-05,99.99995913564901
440,LTU,Lithuania,7777.042,2.7176791881849135e-05,99.9999863124409
710,ZAF,South Africa,1383.647,4.8351399615618515e-06,99.99999114758086
659,KNA,Saint Kitts and Nevis,905.472,3.164162428188211e-06,99.99999431174328
364,IRN,Iran,763.396,2.6676793330209736e-06,99.99999697942262
454,MWI,Malawi,450.178,1.5731423098637088e-06,99.99999855256493
152,CHL,Chile,181.433,6.340157197941754e-07,99.99999918658065
716,ZWE,Zimbabwe,109.429,3.823984953197976e-07,99.99999956897915
634,QAT,Qatar,73.154,2.556358874395678e-07,99.99999982461503
340,HND,Honduras,27.357,9.559875020756565e-08,99.99999992021378
670,VCT,Saint Vincent and the Grenadines,22.832,7.978618506192706e-08,99.99999999999997
